Data as of,Start week,End Week,State,Sex,Age group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, and COVID-19 Deaths",Footnote
05/01/2020,02/01/2020,04/25/2020,South Dakota,Male,1-4 years,0,,0,0,0,0,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,South Dakota,Male,5-14 years,0,,0,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,South Dakota,Male,15-24 years,0,,0,0,0,0,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,South Dakota,Male,25-34 years,0,15,0,0,0,0,
05/01/2020,02/01/2020,04/25/2020,South Dakota,Male,35-44 years,0,32,0,0,0,0,
05/01/2020,02/01/2020,04/25/2020,South Dakota,Male,45-54 years,,44,,,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,South Dakota,Male,55-64 years,,133,15,0,,19,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,South Dakota,Male,65-74 years,,197,20,0,,26,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,South Dakota,Male,75-84 years,0,248,23,0,,25,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,South Dakota,Male,85 years and over,,296,21,,,26,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,South Dakota,Male Total,"Male, all ages",,983,84,,14,102,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,South Dakota,Female,Under 1 year,0,,0,0,0,0,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,South Dakota,Female,1-4 years,0,0,0,0,0,0,
05/01/2020,02/01/2020,04/25/2020,South Dakota,Female,5-14 years,0,,,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,South Dakota,Female,15-24 years,0,,0,0,0,0,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,South Dakota,Female,25-34 years,0,,,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,South Dakota,Female,35-44 years,0,18,,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,South Dakota,Female,45-54 years,,26,,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,South Dakota,Female,55-64 years,0,98,,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,South Dakota,Female,65-74 years,0,154,14,0,,16,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,South Dakota,Female,75-84 years,,197,15,0,,17,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,South Dakota,Female,85 years and over,0,409,26,0,,29,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,South Dakota,Female Total,"Female, all ages",,915,65,0,,74,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,South Dakota,Unknown,All ages,0,0,0,0,0,0,
05/01/2020,02/01/2020,04/25/2020,South Dakota Total,All sexes,All Ages,,"1,898",149,,21,176,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Tennessee,Male,Under 1 year,,73,,,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Tennessee,Male,1-4 years,0,17,0,0,0,0,
05/01/2020,02/01/2020,04/25/2020,Tennessee,Male,5-14 years,0,26,0,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Tennessee,Male,15-24 years,0,159,,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Tennessee,Male,25-34 years,0,291,,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Tennessee,Male,35-44 years,,384,16,,,18,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Tennessee,Male,45-54 years,,735,43,,,52,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Tennessee,Male,55-64 years,18,"1,654",128,11,14,149,
05/01/2020,02/01/2020,04/25/2020,Tennessee,Male,65-74 years,23,"2,236",179,15,22,209,
05/01/2020,02/01/2020,04/25/2020,Tennessee,Male,75-84 years,27,"2,325",203,10,10,230,
05/01/2020,02/01/2020,04/25/2020,Tennessee,Male,85 years and over,,"1,670",164,,,167,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Tennessee,Male Total,"Male, all ages",84,"9,570",742,48,58,836,
05/01/2020,02/01/2020,04/25/2020,Tennessee,Female,Under 1 year,0,47,0,0,0,0,
05/01/2020,02/01/2020,04/25/2020,Tennessee,Female,1-4 years,0,10,0,0,0,0,
05/01/2020,02/01/2020,04/25/2020,Tennessee,Female,5-14 years,0,,0,0,0,0,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Tennessee,Female,15-24 years,0,57,,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Tennessee,Female,25-34 years,0,154,,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Tennessee,Female,35-44 years,0,250,18,0,,21,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Tennessee,Female,45-54 years,,472,29,,,39,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Tennessee,Female,55-64 years,,"1,108",81,,11,93,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Tennessee,Female,65-74 years,,"1,748",148,,11,166,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Tennessee,Female,75-84 years,14,"2,161",187,,14,211,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Tennessee,Female,85 years and over,18,"2,857",172,,12,195,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Tennessee,Female Total,"Female, all ages",50,"8,871",644,19,61,736,
05/01/2020,02/01/2020,04/25/2020,Tennessee,Unknown,All ages,0,0,0,0,0,0,
05/01/2020,02/01/2020,04/25/2020,Tennessee Total,All sexes,All Ages,134,"18,441","1,386",67,119,"1,572",
05/01/2020,02/01/2020,04/25/2020,Texas,Male,Under 1 year,0,213,,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Texas,Male,1-4 years,0,39,,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Texas,Male,5-14 years,0,70,,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Texas,Male,15-24 years,0,482,13,0,0,13,
05/01/2020,02/01/2020,04/25/2020,Texas,Male,25-34 years,,761,18,,,24,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Texas,Male,35-44 years,,989,41,,,50,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Texas,Male,45-54 years,14,"1,894",96,,14,119,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Texas,Male,55-64 years,45,"4,218",321,15,35,386,
05/01/2020,02/01/2020,04/25/2020,Texas,Male,65-74 years,75,"6,010",479,33,29,550,
05/01/2020,02/01/2020,04/25/2020,Texas,Male,75-84 years,51,"6,231",536,23,35,598,
05/01/2020,02/01/2020,04/25/2020,Texas,Male,85 years and over,57,"5,148",442,28,24,495,
05/01/2020,02/01/2020,04/25/2020,Texas,Male Total,"Male, all ages",253,"26,055","1,954",109,149,"2,246",
05/01/2020,02/01/2020,04/25/2020,Texas,Female,Under 1 year,0,154,0,0,0,0,
05/01/2020,02/01/2020,04/25/2020,Texas,Female,1-4 years,0,39,,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Texas,Female,5-14 years,0,56,,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Texas,Female,15-24 years,,153,,,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Texas,Female,25-34 years,,305,10,,,15,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Texas,Female,35-44 years,,548,35,,12,51,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Texas,Female,45-54 years,15,"1,186",82,,20,113,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Texas,Female,55-64 years,17,"2,778",224,,28,263,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Texas,Female,65-74 years,36,"4,285",354,14,36,412,
05/01/2020,02/01/2020,04/25/2020,Texas,Female,75-84 years,56,"5,843",448,20,29,513,
05/01/2020,02/01/2020,04/25/2020,Texas,Female,85 years and over,60,"7,881",553,23,28,618,
05/01/2020,02/01/2020,04/25/2020,Texas,Female Total,"Female, all ages",193,"23,228","1,715",70,162,"1,999",
05/01/2020,02/01/2020,04/25/2020,Texas,Unknown,All ages,0,,0,0,0,0,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Texas Total,All sexes,All Ages,446,"49,284","3,669",179,311,"4,245",
05/01/2020,02/01/2020,04/25/2020,Utah,Male,Under 1 year,0,24,,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Utah,Male,1-4 years,0,,0,0,0,0,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Utah,Male,5-14 years,0,,0,0,0,0,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Utah,Male,15-24 years,0,47,0,0,0,0,
05/01/2020,02/01/2020,04/25/2020,Utah,Male,25-34 years,,80,,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Utah,Male,35-44 years,0,105,,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Utah,Male,45-54 years,,158,,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Utah,Male,55-64 years,,296,13,0,,23,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Utah,Male,65-74 years,,490,28,,,32,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Utah,Male,75-84 years,,627,42,,,52,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Utah,Male,85 years and over,,606,51,,,56,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Utah,Male Total,"Male, all ages",17,"2,441",146,,26,184,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Utah,Female,Under 1 year,0,28,,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Utah,Female,1-4 years,0,,0,0,0,0,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Utah,Female,5-14 years,0,,0,0,0,0,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Utah,Female,15-24 years,,18,,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Utah,Female,25-34 years,0,43,,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Utah,Female,35-44 years,0,67,,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Utah,Female,45-54 years,,94,,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Utah,Female,55-64 years,,219,14,,,17,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Utah,Female,65-74 years,,348,27,,,30,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Utah,Female,75-84 years,,566,38,,,42,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Utah,Female,85 years and over,,863,44,,,48,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Utah,Female Total,"Female, all ages",13,"2,256",133,,13,153,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Utah,Unknown,All ages,0,0,0,0,0,0,
05/01/2020,02/01/2020,04/25/2020,Utah Total,All sexes,All Ages,30,"4,697",279,11,39,337,
05/01/2020,02/01/2020,04/25/2020,Vermont,Male,Under 1 year,0,,,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Vermont,Male,1-4 years,0,,0,0,0,0,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Vermont,Male,5-14 years,0,0,0,0,0,0,
05/01/2020,02/01/2020,04/25/2020,Vermont,Male,15-24 years,0,,0,0,0,0,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Vermont,Male,25-34 years,0,14,0,0,0,0,
05/01/2020,02/01/2020,04/25/2020,Vermont,Male,35-44 years,,29,,,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Vermont,Male,45-54 years,0,39,,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Vermont,Male,55-64 years,,107,,,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Vermont,Male,65-74 years,,157,13,,,20,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Vermont,Male,75-84 years,14,225,20,,,34,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Vermont,Male,85 years and over,,235,25,,,29,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Vermont,Male Total,"Male, all ages",26,813,65,,10,93,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Vermont,Female,Under 1 year,0,0,0,0,0,0,
05/01/2020,02/01/2020,04/25/2020,Vermont,Female,1-4 years,0,0,0,0,0,0,
05/01/2020,02/01/2020,04/25/2020,Vermont,Female,5-14 years,0,0,0,0,0,0,
05/01/2020,02/01/2020,04/25/2020,Vermont,Female,15-24 years,0,,0,0,0,0,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Vermont,Female,25-34 years,0,,0,0,0,0,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Vermont,Female,35-44 years,,10,0,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Vermont,Female,45-54 years,,25,,,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Vermont,Female,55-64 years,0,58,0,0,0,0,
05/01/2020,02/01/2020,04/25/2020,Vermont,Female,65-74 years,,123,,0,,10,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Vermont,Female,75-84 years,,186,12,0,0,16,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Vermont,Female,85 years and over,,345,26,,,33,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Vermont,Female Total,"Female, all ages",16,757,43,,,61,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Vermont,Unknown,All ages,0,0,0,0,0,0,
05/01/2020,02/01/2020,04/25/2020,Vermont Total,All sexes,All Ages,42,"1,570",108,10,14,154,
05/01/2020,02/01/2020,04/25/2020,Virginia,Male,Under 1 year,0,58,0,0,0,0,
05/01/2020,02/01/2020,04/25/2020,Virginia,Male,1-4 years,0,,,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Virginia,Male,5-14 years,0,15,0,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Virginia,Male,15-24 years,0,119,,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Virginia,Male,25-34 years,0,239,,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Virginia,Male,35-44 years,,336,,,,13,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Virginia,Male,45-54 years,10,604,16,,,26,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Virginia,Male,55-64 years,23,"1,379",71,,,94,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Virginia,Male,65-74 years,53,"2,010",120,14,19,178,
05/01/2020,02/01/2020,04/25/2020,Virginia,Male,75-84 years,57,"2,317",159,27,,197,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Virginia,Male,85 years and over,43,"2,020",137,10,12,181,
05/01/2020,02/01/2020,04/25/2020,Virginia,Male Total,"Male, all ages",190,"9,105",514,66,58,695,
05/01/2020,02/01/2020,04/25/2020,Virginia,Female,Under 1 year,0,38,0,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Virginia,Female,1-4 years,0,10,,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Virginia,Female,5-14 years,0,14,0,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Virginia,Female,15-24 years,0,35,0,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Virginia,Female,25-34 years,0,105,,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Virginia,Female,35-44 years,,156,,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Virginia,Female,45-54 years,,380,21,0,,28,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Virginia,Female,55-64 years,19,939,60,,,80,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Virginia,Female,65-74 years,26,"1,477",86,,,108,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Virginia,Female,75-84 years,44,"2,210",125,16,12,165,
05/01/2020,02/01/2020,04/25/2020,Virginia,Female,85 years and over,65,"3,281",185,14,13,249,
05/01/2020,02/01/2020,04/25/2020,Virginia,Female Total,"Female, all ages",161,"8,645",486,46,46,647,
05/01/2020,02/01/2020,04/25/2020,Virginia,Unknown,All ages,0,,0,0,0,0,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Virginia Total,All sexes,All Ages,351,"17,751","1,000",112,104,"1,342",
05/01/2020,02/01/2020,04/25/2020,Washington,Male,Under 1 year,0,43,,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Washington,Male,1-4 years,0,12,0,0,0,0,
05/01/2020,02/01/2020,04/25/2020,Washington,Male,5-14 years,0,13,0,0,0,0,
05/01/2020,02/01/2020,04/25/2020,Washington,Male,15-24 years,,106,,,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Washington,Male,25-34 years,0,185,,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Washington,Male,35-44 years,,259,,0,,14,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Washington,Male,45-54 years,11,448,24,,,36,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Washington,Male,55-64 years,30,"1,019",86,15,11,111,
05/01/2020,02/01/2020,04/25/2020,Washington,Male,65-74 years,65,"1,680",151,29,19,206,
05/01/2020,02/01/2020,04/25/2020,Washington,Male,75-84 years,85,"1,815",180,49,,224,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Washington,Male,85 years and over,104,"1,825",181,65,,229,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Washington,Male Total,"Male, all ages",302,"7,405",638,163,56,831,
05/01/2020,02/01/2020,04/25/2020,Washington,Female,Under 1 year,0,33,0,0,0,0,
05/01/2020,02/01/2020,04/25/2020,Washington,Female,1-4 years,0,,,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Washington,Female,5-14 years,0,,0,0,0,0,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Washington,Female,15-24 years,0,34,,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Washington,Female,25-34 years,0,67,,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Washington,Female,35-44 years,,125,,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Washington,Female,45-54 years,,294,17,,,23,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Washington,Female,55-64 years,16,661,59,,,73,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Washington,Female,65-74 years,30,"1,187",99,15,,122,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Washington,Female,75-84 years,67,"1,628",146,40,14,186,
05/01/2020,02/01/2020,04/25/2020,Washington,Female,85 years and over,104,"2,693",209,53,,267,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Washington,Female Total,"Female, all ages",225,"6,736",538,118,42,685,
05/01/2020,02/01/2020,04/25/2020,Washington,Unknown,All ages,0,0,0,0,0,0,
05/01/2020,02/01/2020,04/25/2020,Washington Total,All sexes,All Ages,527,"14,141","1,176",281,98,"1,516",
05/01/2020,02/01/2020,04/25/2020,West Virginia,Male,Under 1 year,0,16,0,0,0,0,
05/01/2020,02/01/2020,04/25/2020,West Virginia,Male,1-4 years,0,,0,0,0,0,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,West Virginia,Male,5-14 years,0,,0,0,0,0,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,West Virginia,Male,15-24 years,0,27,0,0,0,0,
05/01/2020,02/01/2020,04/25/2020,West Virginia,Male,25-34 years,,74,,,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,West Virginia,Male,35-44 years,0,117,,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,West Virginia,Male,45-54 years,0,195,,0,,10,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,West Virginia,Male,55-64 years,0,434,26,0,,31,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,West Virginia,Male,65-74 years,,678,49,0,,57,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
